execution_mode	prepare-sharded
shard_count	64
campaign_root	/net/scratch/hscra/plgrid/plgnasqret/codex-control/projects/euf-viper/campaigns/20260726T230513Z-b32e204e6fe5-b5f78fb6
orchestration_revision	b32e204e6fe525e033baab7c363b8645caa36f02
solver_revision	b5f78fb6cfef648178089a680bf365ff4367b075
promotion_eligible	true
comparator_bundle_receipt_sha256	034af9fb5b4de52502b03e0f1ab43a6166897468af08f496d99eb3456e68742e
candidate_binary_sha256	6137acfaee46cf13b828a3bb356b39e9a0420df797a94e2188490b48edba01fd
solver_config_sha256	56b8ec23ead974875d82255008a51f0ffbb4406f99d2942f2cce6af6738084cc
taxonomy_sha256	120816f65ef25c323f336ad7d58f2689818b67faf8754b78db88d3741e755fcb
taxonomy_split_sha256	37268581f5a9a07797c81c20f07ab630f0b52c80b5fc96408369fd4326eb8c44
taxonomy_cache_summary_sha256	966d1151dddbd362d19e3999f844d5dc6e0278739ff0b21d618d268a6d0d98d9
lock_file_sha256	c0df4dca99ecddeccee534aeb81e4cba9d7e9f3f2720f3698ff983fe8d658e74
shard_summary_sha256	0caa5fa79d7522d929fab7cc90b9b31f462af8568cdced9d71bbc56dea4a4fb4
