execution_mode	prepare-sharded
shard_count	2
campaign_root	/net/scratch/hscra/plgrid/plgnasqret/codex-control/projects/euf-viper/campaigns/20260726T200307Z-683b05672484-8368d21
orchestration_revision	683b05672484b3269b521140b511b68fdb7ca7bf
solver_revision	8368d21de96eec77f3bb5f6820c11d1363d3041b
promotion_eligible	true
comparator_bundle_receipt_sha256	034af9fb5b4de52502b03e0f1ab43a6166897468af08f496d99eb3456e68742e
candidate_binary_sha256	c146a7be8b2146e9d405feffc68d821608908c08d06632e738ef9ab53e9772e0
solver_config_sha256	902b46941be035c7435765dc4a93019eddaef9f80e1a36196385cb7a61d55a79
taxonomy_sha256	4b27a10638da30e3e88f3251ffdf45e79f187492941a233f66dc727d7557ab43
taxonomy_split_sha256	653fd20874756f4fceffb4549e6157eea90813bd0d28a8728bf99239eb600981
lock_file_sha256	55532df109898e83b60dab7c6d45102daf2254f8dc22cfda4fff676bf1d8141a
shard_summary_sha256	94971b7607d4ce42cea3589c4a57d5b30f3aef2917a7c24825d3efdfc1f5e388
