execution_mode	prepare-sharded
shard_count	64
campaign_root	/net/scratch/hscra/plgrid/plgnasqret/codex-control/projects/euf-viper/campaigns/20260727T003507Z-fd32ee2d1671-d2b45f5e
orchestration_revision	fd32ee2d167103a0a094c998fc6b280f56afe867
solver_revision	d2b45f5ea1263476405ca4da7fdeaf92328f1e8f
promotion_eligible	true
comparator_bundle_receipt_sha256	034af9fb5b4de52502b03e0f1ab43a6166897468af08f496d99eb3456e68742e
candidate_binary_sha256	9763f35f343b3d4b6b536a81ef6e6520840e332854117dee5e69c44062084cfc
solver_config_sha256	f2b0ea654bf8b55c80096f5b5043c3814126ebc153384d360c8f9307133c74b3
taxonomy_sha256	120816f65ef25c323f336ad7d58f2689818b67faf8754b78db88d3741e755fcb
taxonomy_split_sha256	37268581f5a9a07797c81c20f07ab630f0b52c80b5fc96408369fd4326eb8c44
taxonomy_cache_summary_sha256	f57406a92222ac6e52a575eba772bc15b87e9654342ce357f18e511319f12495
lock_file_sha256	90a12e45c56581922d4d89d00fa1542a778acb8d1cb923eacc475d09be65aae2
shard_summary_sha256	2f45243ad92e4c2bf146adc6483a264240b7a3bca55fcc364dd1f86064964a51
